,post_id,title,sentence,job_code_1A,job_code_1B,company,post_date,industry_id,industry_name,sector_id,sector_title,branch_id,branch_title,sub_branch_id,sub_branch_title,pjt_matched_other_branch_id,batch_id,run_no,job_salary_min,job_salary_max,job_salary_average,job_salary_unit,job_salary_remarks,job_salary_estimated,job_employment_type,job_employment_type_description,qualification,education_level,education_level_title,experience,working_experience,is_part_time,is_freelance,is_full_time,principal_job_title_matched,pjt_is_matched_custom_rule
1123,12172617,( 日班 )  麵包師傅 / 助理,負責麵包製作及設計，協助廚房日常之運作等等 ;  9 小時工作    (   輪班及輪休   ) ;  工作地點：觀塘 ;  可立即上班   (   優先考慮  ),#N/A,,Crostini,8/7/2020 0:00:00,20,Retail Trade,1,#N/A,5,"Consumer Goods, n.e.c.",21,"Other retail sale of new goods (except HSIC 477402, 477403, 477405, 477407, 477418, 477421, 477422)",0,202008,4,0,0,0,0,-,0,1,Full Time,"Master's degree, Degree, Asso. Deg or High Dip, Diploma or equivalent, F.5- F.7 or DSE, Below F.5",0,#N/A,0-5,0,0,0,1,0,0
509,5705971,(internship) e-commerce operation executive,"job highlights ;  monitor transaction & logistics process ;  start up environment ;  friendly working environment         job description ;  responsibilities  : ;  understand and assist in the whole e commerce operation process ;  monitor and maintain transaction and logistics process ;  handle stock in and out process ;  execute projects and maintain relationship with vendors   (  local and overseas  ) ;  perform administrative support to management ;  handle customer inquiries and provide customer service support ;  conduct market research in the e commerce industry ;  handle general clerical work and administration duties ;  assist in adhoc projects and prepare reports to management ;  requirements  : ;  available to commit 2 working days a week for the internship program ;  experience in e commerce is an advantage ;  good telephone manner ;  organized  ,   enthusiastic and willing to learn ;  proficient in ms word  ,   ms excel and chinese word processing is a must ;  good command of spoken and written english  ,   cantonese and mandarin ;  immediately available is preferable ;  fresh graduated or less working experience will be also considered ;  interested parties please send your letter of interest and full resume stating date of availability  ,   present and expected salary to human resources department by email to [hr]@searchingc.com ;  for any enquiry please contact us by calling 2568 277 ;  (  all personal data provided by job applicants will be used for recruitment purpose only  ) ;  for more information about us  ,   please visit our website at searchingc.com         additional information         career level   entry level         qualification   non degree tertiary         years of experience   1 year         employment type   full time         job functions   transportation & logistics   >   inventory   /   warehousing  ,   merchandising & purchasing   >   electronics  ,   e commerce   >   marketing   brand   /   product management                      company overview ;  searching c company limited is a fast growing start up e commerce platform with focus on assisting quality brands to launch their products in the asia pacific area ;  based in hong kong  ,   searching c possesses an integrated product launching channel which covers both online and offline ;  with a principle of curating products from the elite brands  ,   searching c brings customers with the newest and most amazing features each designer created ;  additional company information         industry   trading and distribution         benefits & others   five day work week",218,218,Searching C Company Limited,1/2/2020 8:00:00,20,Retail Trade,1,#N/A,11,Retail Trade not via Stores and Mobile Stalls,40,Retail sale via mail order or internet,0,202001,14,0,0,0,#N/A,#N/A,0,1,Full Time,#N/A,0,#N/A,#N/A,1,1,0,1,1,1
978,7005045,(senior) agile coach- banking industry (60-74k),"job description ;  responsibilities  : ;  provide coaching to the squads who are currently in an incubator ;  provide coaching and support to scrum masters and product owners ;  provide coaching to identified coaches ;  coach pods intensively while they learn   ""  agile on the job  "" ;  actively support the transformation specialists in the training course creation where necessary ;  coach accountability by incubator phase  : ;  preparation   /   leadership training  :   train agile coach  ,   leadership and support trainer for other training ;  bootcamp  :   plan  ,   lead and facilitate the bootcamps ;  hypercare  :   continue to coach the pods with a decreasing level of intensity and provide feedback ;  delivery  :   continue to support pods in a 'light touch' manner ;  provide opportunities for the pod members to deepen their knowledge e.g ;  lunch and learn sessions  ,   agile clinics ;  requirements  : ;  10+ years experience using agile practices to deliver products and services ;  5+ years training and coaching enterprises and teams in using agile ways of working ;  5 years leading agile transformations using agile at scale methodologies ;  created an agile vision  /  mission to ensure the work being done has a clear purpose  ,   clear boundaries  /  scope  ,   clear metrics based on business impact rather than deliveries ;  ensured this vision is clear to everyone involved   (  teams  ,   customers  ,   stakeholders  ) ;  worked with managers to ensure that the right people and teams are available at the right time to maximize the velocity and chance of success ;  ensured that the organization focuses on achieving the highest possible business impact with the lowest possible effort and output ;  ensured that waste and impediments are visualized  ,   prioritized  ,   and systematically removed ;  ensured that decisions are made in a just in time manner and by the people who have the best insight into the matter  ,   decentralized whenever possible ;  provided visual status and progress using big pictures  ,   dashboards  ,   and other visual management tools to optimize the workflow throughout the organisation ;  managed risks throughout the projects  ,   thereby reducing the risk of a big failure at the end ;  managed a cross cultural and cross functional collaborative team ;  guided the organization on adopting agile and assessed their maturity and areas for improvement ;  provided inputs into development of agile for business learning materials that are not currently available ;  provided coaching to new agile coaches and product managers beyond initial training so they can then be positioned to model and help others in their business areas  ,   learn and apply these roles ;  provided coaching to leadership  ,   executives in business areas both within the adopter teams and beyond in order to build understanding around the mindset  ,   behaviours and role they play in agile ways of working ;  provided coaching and support to the agile centre of excellence ;  actively engaged in communication channels between the business area adopter teams and the agile centre of enablement ;  nice to have  : ;  infrastructure and  /  or fss experience ;  experience with atlassian tools such as jira and confluence ;  safe 4.0+ program consultant certification ;  other certifications such as spct  ,   icagile  ,   icp acc  ,   pmi acp  ,   csm  ,   csp  ,   cec  ,   psm  ,   pal ;  contact ms ;  alexandra leung at   (  852  )   3103 4312 or apply now by clicking the button below ;  data provided is for recruitment purposes only",217,,Ambition,3/4/2020 8:00:00,20,Retail Trade,1,#N/A,4,"Clothing, Footwear and Allied Product",9,"Retail sale of clothing, footwear and leather articles (except HSIC 477103, 477104, 478102)",0,202003,8,0,0,0,#N/A,#N/A,0,1,Full Time,#N/A,0,#N/A,#N/A,10,0,0,0,1,1
668,12222050,(senior) beauty consultant (高級) 美容顧問,"入職要求： ;  1 年或以上美容銷售或品牌銷售經驗者優先 ;  2 年以上經驗可應徵高級美容顧問 ;  需流利廣東話，一般英語和國語，有禮主動 ;  具良好銷售能力  ,   溝通技巧及良好的人際溝通技巧 ;  薪酬優厚及福利完善，包括： ;  每天 7 小時工作+ 1 小時用膳 ;  特高佣金   /   每日業績獎金 + 勤工獎金 + 儀容獎金 ;  每月 7 天例假另加勞工假期 ;  年假 10 日起 ;  生日假期 ;  恩恤假 ;  醫療保險 ;  推薦獎金 ;  良好晉升階梯 ;  專業在職培訓 ;  每月免費產品 ;  員工購物優惠 ;  員工活動，如  :   公司周年晚宴、節日聯歡及員工團聚派對等 ;  若你具備以上特質和有意加入美容行業 請以 whatsapp 預約面試  :   95333550   或請即按下列「apply now」選項遞交申請    (  申請人所提供之資料，將絕對保密及只作招聘用途  ) ;  歡迎公司網站 及 員工心聲  :   https  :   /   /  www.youtube.com  /  watch ;  v  =  atwusim5o o https  :   /   /  www.beautyexpress.com.hk  /  zh hant  /",000',000,Premier by Dead Sea,9/30/2020 8:00:00,20,Retail Trade,1,#N/A,8,Medicines and Cosmetics,28,Retail sale of cosmetics and personal care products,0,202009,5,0,0,0,#N/A,#N/A,0,1,Full Time,Not Specified,0,#N/A,Not Specified,0,0,0,0,1,1
622,5990894,(senior) business analyst (banking) - 20- 40k,"job highlights ;  great exposure to the new technology ;  excellent career prospect ;  attractive remuneration package         job description ;  business analyst   banking   hong kong ;  a top tier global banking client is looking for a business analyst with retail banking  /   commercial banking  /   risk and compliance  /   finance  /   treasury experience to join their team ;  responsibilities ;  continue to follow up the queries from users on signed off requirement ;  conduct requirement collection  ,   brd writing  ,   and draft fuctional specification ;  support uat   compile test scenario  ,   review test case  ,   screen & analyze defects  ,   assign defect follow up parties  ,   and interpret req ;  requirements ;  solid experience in banking   /   finance sector ;  good understanding of banking industry in terms of products and services  ,   operational requirements  ,   regulatory compliance  ,   market and related technology trends and other common business challenges ;  sound knowledge in banking operations ;  knowledge in compliance and regulations of banking industry ;  excellent interpersonal skills  ,   self motivated  ,   team player  ,   can work independently and under pressure ;  please submit your cv to davis leung  :   [email protected] quoting reference number dl239072 or click apply now ;  data provided is for recruitment purpose only ;  regrettably  ,   only shortlisted candidates will be notified ;  *  li dl         additional information         career level   middle         qualification   degree         years of experience   n  /  a         employment type   full time  ,   permanent         company website   http  :   /   /  www.ambition.com.hk         job functions   information technology   (  it  )    ,   information technology   (  it  )     >   product management   /   business analyst  ,   information technology   (  it  )     >   others                      company overview     ambition is a leading global boutique recruitment business listed on the australian securities exchange ;  with coverage across hong kong  ,   singapore  ,   kuala lumpur  ,   sydney  ,   melbourne  ,   brisbane  ,   and london  ,   we specialise within the areas of banking & financial services  ,   finance & accounting  ,   sales & marketing  ,   supply chain & procurement and technology ;  additional company information         industry   human resources management   /   consultancy",219,219,Ambition,1/10/2020 8:00:00,20,Retail Trade,1,#N/A,4,"Clothing, Footwear and Allied Product",9,"Retail sale of clothing, footwear and leather articles (except HSIC 477103, 477104, 478102)",0,202001,14,0,0,0,#N/A,#N/A,0,1,Full Time,#N/A,3,BACHELOR,#N/A,0,1,0,1,1,1
338,8448184,(senior) full stack developer- 25-45k,"responsibilities  : ;  collaborate as part of the development team to help architect  ,   design  ,   develop  ,   test  ,   and deploy new enterprise software ;  prepare documentation on the requirement and technical specification and user manual ;  provide system maintenance and support of production systems ;  responsible for frontend and backend web development ;  requirements  : ;  degree holder in computer science  ,   information technology or related disciplines ;  minimum of 2 years of experience in full stack web development ;  experience in spa frameworks such as angular  ,   react or vue ;  seo experience will be an advantage ;  experience in open source java frameworks such as spring  ,   struts2  ,   drools  ,   hibernate ;  experience in building chatbot will be an advantage ;  working experience in bootstrap will be needed ;  working knowledge of unit and integration testing tools such as junit  ,   mockito  ,   jmeter  ,   selenium ;  knowledge in tomcat  ,   jboss  ,   wildfly and other application server technology would be an added advantage ;  good knowledge of software implementation best practices ;  ability to use a wide variety of open source technologies and tools ;  familiar with source code management and change control in git ;  good command of written and spoken english  ,   cantonese  ,   and mandarin ;  contact ms ;  alexandra leung at   (  852  )   3103 4312 or apply now by clicking the button below quoting reference number ali41741 www.ambition.com.hk or email to data provided is for recruitment purposes only",0,000,Ambition,6/16/2020 8:00:00,20,Retail Trade,1,#N/A,4,"Clothing, Footwear and Allied Product",9,"Retail sale of clothing, footwear and leather articles (except HSIC 477103, 477104, 478102)",0,202006,10,0,0,0,#N/A,#N/A,0,1,Full Time,Degree,3,BACHELOR,2 years,2,0,0,0,1,1
763,12915439,(日班)麵包/西餅師傅,負責麵包/西餅製作及設計，協助廚房日常之運作等等 ;  9 小時工作    (   輪班及輪休   ) ;  工作地點：觀塘 ;  可立即上班   (   優先考慮  ),#000,#000,Crostini,11/26/2020 0:00:00,20,Retail Trade,1,#N/A,1,"Food, Beverages and Tobacco",2,"Retail sale of food, beverages and tobacco in specialised stores",0,202011,2,0,0,0,0,-,0,1,Full Time,"Master's degree, Degree, Asso. Deg or High Dip, Diploma or equivalent, F.5- F.7 or DSE, Below F.5",0,#N/A,2-10,0,0,0,1,0,0
460,12685023,[graduate job] business assistant,"key responsibilities  : ;  assist pre sales and pricing teams in conducting sales activities and operating the internal system ;  monitor the system operations in compiling with the sla requirements ;  maintain timely data input and files upload to ensure accuracy of system record ;  provide analysis and report for management review ;  assist in the update and enhancement work on the standard operations procedure and related document ;  provide other project coordination and ad hoc support as required     requirements  : ;  degree holder or above in computer science  ,   engineering or related disciplines ;  excellent interpersonal and organization skills and strong in implementation ;  positive attitude  ,   proactive  ,   results oriented with high integrity ;  good command of both written and spoken english and chinese  ,   including cantonese and mandarin ;  career ladder for fresh graduates to technical role     we offer 5 days work  ,   competitive salary package and attractive career development opportunities to the right candidate ;  interested parties please email your full resume with your current & expected salary to us ;  applicants not invited for interview within 3 months may assume their applications unsuccessful ;  personal data collected would be used for recruitment purpose only ;  ·        provide analysis and report for management review",000,000,China Telecom Global Limited,12/7/2020 8:00:00,20,Retail Trade,1,#N/A,10,Telecommunications Equipment and Electrical Goods,37,Retail sale of telecommunications equipment,0,202012,2,0,0,0,#N/A,#N/A,0,1,Full Time,Not Specified,3,BACHELOR,Not Specified,0,1,0,1,1,1
79,6909102,[堅尼地城分店] 麵包店務員/高級店務員/副主管/主管(全職/兼職),"job description ;  麵包店務員/高級店務員職責：提供優質顧客服務及處理店舖日常運作,包括產品陳設,收銀,並保持店舖乾淨衛生 ;  店舖副主管  /   主管職責：提供優質顧客服務及管理店舖日常運作  ,   包括訂貨數量及安排  ,   控制成本 ;  以及員工管理  ,   包括人手編配及編寫更表  ,   培訓及指導員工 ;  工作地點  :   堅尼地城士美菲路 41a  43 號美菲閣地下 4 5 號鋪 ;  全職工作時間:上午 7 時 00 分至下午 22 時 00 分  ,   每週工作 6 天  ,   每天工作 9 小時  ,   輪班  ,   輪休 ;  全職月薪 :   $  12  ,  500   $  18  ,  900 ;  兼職工作時間:上午 7 時 00 分至下午 22 時 00 分  ,   每週工作 3    6 天   ,   每天工作 5 小時起  ,   輪班  ,   輪休 ;  時薪   $  48   $  63  ,   另設收舖津貼*收 7p ;  m ;  以後 ;  要求  :   中三或以上程度,工作經驗不拘,有禮貌,良好團隊合作,良好粵語,懂閱讀中文 ;  全職福利(視乎分店)包括勤工獎  ,   有薪用膳時間  ,   良好晉升機會  ,   每年兩次薪酬表現調整  ,   年終酌情花紅  ,   地區津貼  ,   分店津貼  ,   職級津貼  ,   介紹人獎金  ,   生日禮物  ,   婚假  ,   恩恤假  ,   醫療津貼  ,   新人獎金  $  3  ,  500  ,   員工購物優惠  ,   港島交通津貼 ;  兼職福利包括有薪用膳時間  ,   良好晉升機會  ,   員工購物優惠  ,   港島交通津貼 ;  *   * 求職者可親臨分店面試  ,    或於星期一至五下午 2 時 30 分至 5 時 30 分(公眾假期除外)親臨寫字樓:沙田石門安群街 3 號京瑞廣場一期九樓 a  c 及 k p 室  ( 人力資源部)面試 ;  如未能親臨面試，請用以下方式與我們聯絡或查詢  : ;  電話  :   2110 1275 whatsapp   :   6283 8781 ;  (  所有求職者之個人資料絕對保密及只作招聘用途)",411 / 311 / 211,311/312/211,"A-1 Bakery Co., (HK) Limited",2/21/2020 8:00:00,20,Retail Trade,1,#N/A,1,"Food, Beverages and Tobacco",2,"Retail sale of food, beverages and tobacco in specialised stores",0,202002,7,0,0,0,#N/A,#N/A,0,1,Full Time,Form 3,0,#N/A,#N/A,0,1,0,1,1,1
512,11395006,【 35-50k/m 】 japanese speaking senior erp program manager in japan,"＜double congratulatory money＞ ;  from february 1  ,   2020  ,     ""  double congratulatory money campaign will be held ;  e job will give hkd 1  ,  500 as a congratulatory money to our candidate who find a job through us ;  this time  ,   e job will give hkd 1  ,  500 as a congratulatory money to both the candidate who found the job and the person who introduced the candidate ;  who is e job ;  (  you tube  )     :   https  :   /   /  www.youtube.com  /  watch ;  v  =  7kcm5jcsspit  =  17s ;  job details  (  e job website  )     :   https  :   /   /  e job.hk  /  index.php ;  app_controller  =  infotype  =  midid  =  je81678e ;  this company is a consulting firm focused on the delivery of it software solutions and they are especially good at user based support like implementation planning  ,   requirement definition  ,   project management of erp system ;  only the candidates who speak japanese can apply  ,   thanks ;  what they offer ;  this companys clients are looking for senior program manager to implement their new erp project ;  the project is intended for japan headquarter and overseas branch   (  china  ,   malaysia  ,   etc  ) ;  they fully give resident and travel expenses during working in japan and other overseas   (  except hong kong  ) ;  the opportunity ;  the primary responsibility of the program manager will be to manage a large erp system   (  sap  ,   oracle  ,   etc ;  )   comprised of several sub project initiates and teams from design to delivery ;  this program will also span multiple business teams  ,   multiple countries  /  regions  ,   and involve migration activities from legacy erp environments ;  ■industry  :   information technology ;  ■location  : ;  *   working onsite at the client office in various countries   (  mostly in japan  )   after the training period ;  *   mong kok area  (  hk office  ) ;  ■employment type  :   full time ;  ■job titles  :   senior erp program manager ;  ■monthly salary  :   35k 50k  /  m+ double pay ;  ■required qualifications  : ;  *   business level japanese speaking is must  (  at least conversation level  ) ;  *   5+ years of overall erp experience in a functional  /  technical  /  user role ;  *   5+ years of functional erp project management experience in a manufacturing environment ;  *   senior level experience with executive presence ;  *   financial acumen related to large scale projects is required  forecasting  ,   preparing annual budgets  ,   scheduling expenditures ;  analyzing variances ;  *   ability to lead large erp project reporting and milestone status to senior leadership and executives ;  *   excellent communication and interpersonal skills required to be successful ;  *   experience integrating bolt on and 3rd party software ;  *   experience with tier 1 consulting or erp implementation partners is desirable ;  *   international erp implementation experience is desirable ;  *   experience and  /  or exposure with agile project management and scrum project management is desirable ;  *   pmp certification is desirable ;  ■benefit  : ;  *   double pay ;  *   resident and travel expenses during working in japan and other overseas   (  except hong kong  ) ;  *   business trip allowance ;  *   travel insurance ;  *   flexible working hour",112,123,e - Job Agency Limited,4/24/2020 0:00:00,20,Retail Trade,1,#N/A,10,Telecommunications Equipment and Electrical Goods,39,"Retail sale of electrical goods (excl. machinery, office and telecommunications equipment and appliances, audio and video equipment)",0,202004,10,0,0,0,0,-,0,1,Full Time,"Master's degree, Degree, Diploma or equivalent",0,#N/A,5-15,5,0,0,1,0,0
